Model name,Number of cores,Number of cycles, Number of configs found
at.6,2,88632,36
at.6,4,46116,36
at.6,8,28008,36
at.6,16,18360,36
at.2,1,61028,22
at.2,2,32868,22
at.2,4,17732,22
at.2,8,10846,22
at.2,16,6468,22
at.7,1,237446,43
at.7,2,125990,43
at.7,4,70950,43
at.7,8,41366,43
at.7,16,24983,43
lup.1,1,296020,41
lup.1,2,151987,41
lup.1,4,76957,41
lup.1,8,43419,41
lup.1,16,22673,41
lup.3,1,2393838,102
lup.3,2,1227570,102
lup.3,4,621588,102
lup.3,8,343740,102
lup.3,16,224196,102
lup.2,1,1736479,89
lup.2,2,874603,89
lup.2,4,445267,89
lup.2,8,226861,89
lup.2,16,135547,89
lup.4,1,3119365,113
lup.4,2,1576237,113
lup.4,4,823431,113
lup.4,8,418439,113
lup.4,16,267245,113
frogs.2,1,21392,8
frogs.2,2,11728,8
frogs.2,4,7320,8
frogs.2,8,4872,8
frogs.2,16,129248,56
frogs.1,1,20244,7
frogs.1,2,10815,7
frogs.1,4,6958,7
frogs.1,8,4816,7
frogs.1,16,126885,55
frogs.5,1,20226,6
frogs.5,2,12144,6
frogs.5,4,8838,6
frogs.5,8,7002,6
frogs.5,16,126885,55
frogs.4,1,28926,9
frogs.4,2,16803,9
frogs.4,4,11844,9
frogs.4,8,9090,9
frogs.4,16,131613,57
frogs.3,1,24164,7
frogs.3,2,14735,7
frogs.3,4,10878,7
frogs.3,8,8736,7
frogs.3,16,126885,55
peg_solitaire.4,1,1010587,61
peg_solitaire.4,2,507337,61
peg_solitaire.4,4,255712,61
peg_solitaire.4,8,138287,61
peg_solitaire.4,16,71187,61
peg_solitaire.3,1,15234280,230
peg_solitaire.3,2,7644280,230
peg_solitaire.3,4,3849280,230
peg_solitaire.3,8,1951780,230
peg_solitaire.3,16,1003030,230
peg_solitaire.1,1,503272,38
peg_solitaire.1,2,252472,38
peg_solitaire.1,4,127072,38
peg_solitaire.1,8,64372,38
peg_solitaire.1,16,33022,38
peg_solitaire.5,1,5449227,141
peg_solitaire.5,2,2734977,141
peg_solitaire.5,4,1377852,141
peg_solitaire.5,8,718677,141
peg_solitaire.5,16,369702,141
peg_solitaire.6,1,2570791,97
peg_solitaire.6,2,1290391,97
peg_solitaire.6,4,650191,97
peg_solitaire.6,8,330091,97
peg_solitaire.6,16,170041,97
peg_solitaire.2,1,5449227,141
peg_solitaire.2,2,2734977,141
peg_solitaire.2,4,1377852,141
peg_solitaire.2,8,718677,141
peg_solitaire.2,16,369702,141
pgm_protocol.1,1,3406701,111
pgm_protocol.1,2,2394714,111
pgm_protocol.1,4,1465311,111
pgm_protocol.1,8,784548,111
pgm_protocol.1,16,632478,111
pgm_protocol.5,1,3367430,110
pgm_protocol.5,2,1869890,110
pgm_protocol.5,4,1350140,110
pgm_protocol.5,8,854920,110
pgm_protocol.5,16,626670,110
pgm_protocol.7,1,3367430,110
pgm_protocol.7,2,1850640,110
pgm_protocol.7,4,1002650,110
pgm_protocol.7,8,732820,110
pgm_protocol.7,16,626670,110
pgm_protocol.3,1,3367430,110
pgm_protocol.3,2,1875170,110
pgm_protocol.3,4,994070,110
pgm_protocol.3,8,723030,110
pgm_protocol.3,16,626670,110
pgm_protocol.2,1,3406701,111
pgm_protocol.2,2,1800975,111
pgm_protocol.2,4,1249194,111
pgm_protocol.2,8,821622,111
pgm_protocol.2,16,632478,111
pgm_protocol.6,1,3406701,111
pgm_protocol.6,2,2007435,111
pgm_protocol.6,4,1078032,111
pgm_protocol.6,8,784548,111
pgm_protocol.6,16,632478,111
pgm_protocol.8,1,3406701,111
pgm_protocol.8,2,1892439,111
pgm_protocol.8,4,963036,111
pgm_protocol.8,8,729714,111
pgm_protocol.8,16,632478,111
pgm_protocol.4,1,3406701,111
pgm_protocol.4,2,2385612,111
pgm_protocol.4,4,1456209,111
pgm_protocol.4,8,753690,111
pgm_protocol.4,16,632478,111
lamport.2,1,57384,24
lamport.2,2,30888,24
lamport.2,4,15384,24
lamport.2,8,10704,24
lamport.2,16,6840,24
lamport.7,1,159080,40
lamport.7,2,83520,40
lamport.7,4,43960,40
lamport.7,8,24640,40
lamport.7,16,16920,40
lamport.5,1,101504,32
lamport.5,2,52224,32
lamport.5,4,26720,32
lamport.5,8,15552,32
lamport.5,16,11328,32
lamport.6,1,102656,32
lamport.6,2,52992,32
lamport.6,4,27104,32
lamport.6,8,15552,32
lamport.6,16,11328,32
lamport.3,1,57528,24
lamport.3,2,31176,24
lamport.3,4,15528,24
lamport.3,8,10848,24
lamport.3,16,6840,24
lamport.1,1,56808,24
lamport.1,2,30600,24
lamport.1,4,15384,24
lamport.1,8,10704,24
lamport.1,16,6840,24
lamport.8,1,161240,40
lamport.8,2,84960,40
lamport.8,4,44440,40
lamport.8,8,25120,40
lamport.8,16,17400,40
krebs.2,1,10600,8
krebs.2,2,5872,8
krebs.2,4,3440,8
krebs.2,8,2608,8
krebs.2,16,1656,8
krebs.1,1,4570,5
krebs.1,2,2355,5
krebs.1,4,1960,5
krebs.1,8,1615,5
krebs.1,16,2925,9
krebs.3,1,10600,8
krebs.3,2,5872,8
krebs.3,4,3440,8
krebs.3,8,2608,8
krebs.3,16,1656,8
krebs.4,1,19096,11
krebs.4,2,9735,11
krebs.4,4,6501,11
krebs.4,8,4378,11
krebs.4,16,3619,11
hanoi.4,1,6505,5
hanoi.4,2,4060,5
hanoi.4,4,2725,5
hanoi.4,8,1674,6
hanoi.4,16,3597,11
hanoi.3,1,6505,5
hanoi.3,2,4060,5
hanoi.3,4,2725,5
hanoi.3,8,1674,6
hanoi.3,16,3597,11
hanoi.1,1,8748,6
hanoi.1,2,4878,6
hanoi.1,4,3276,6
hanoi.1,8,1960,7
hanoi.1,16,3936,12
hanoi.2,1,8748,6
hanoi.2,2,4878,6
hanoi.2,4,3276,6
hanoi.2,8,1960,7
hanoi.2,16,3936,12
bakery.3,1,30828,12
bakery.3,2,15648,12
bakery.3,4,9300,12
bakery.3,8,6120,12
bakery.3,16,4164,12
bakery.4,1,30828,12
bakery.4,2,15648,12
bakery.4,4,9300,12
bakery.4,8,6120,12
bakery.4,16,4164,12
bakery.7,1,54560,16
bakery.7,2,27776,16
bakery.7,4,14384,16
bakery.7,8,7840,16
bakery.7,16,5616,16
bakery.1,1,13824,8
bakery.1,2,7128,8
bakery.1,4,3856,8
bakery.1,8,2744,8
bakery.1,16,2112,8
bakery.8,1,85020,20
bakery.8,2,42980,20
bakery.8,4,23840,20
bakery.8,8,15280,20
bakery.8,16,10360,20
bakery.2,1,13824,8
bakery.2,2,7128,8
bakery.2,4,3856,8
bakery.2,8,2744,8
bakery.2,16,2112,8
bakery.6,1,54560,16
bakery.6,2,27776,16
bakery.6,4,14384,16
bakery.6,8,7840,16
bakery.6,16,5616,16
bakery.5,1,54560,16
bakery.5,2,27776,16
bakery.5,4,14384,16
bakery.5,8,7840,16
bakery.5,16,5616,16
bopdp.2,1,376860,60
bopdp.2,2,201420,60
bopdp.2,4,108060,60
bopdp.2,8,58560,60
bopdp.2,16,34560,60
bopdp.3,1,380340,60
bopdp.3,2,201420,60
bopdp.3,4,108060,60
bopdp.3,8,58560,60
bopdp.3,16,34560,60
bopdp.1,1,380340,60
bopdp.1,2,201420,60
bopdp.1,4,108060,60
bopdp.1,8,58560,60
bopdp.1,16,34560,60
brp2.6,1,99456,21
brp2.6,2,50505,21
brp2.6,4,27804,21
brp2.6,8,19719,21
brp2.6,16,17535,21
brp2.1,1,104214,22
brp2.1,2,54142,22
brp2.1,4,28424,22
brp2.1,8,20680,22
brp2.1,16,18392,22
brp2.3,1,93260,20
brp2.3,2,46940,20
brp2.3,4,26120,20
brp2.3,8,20200,20
brp2.3,16,18120,20
brp2.2,1,104214,22
brp2.2,2,53042,22
brp2.2,4,27852,22
brp2.2,8,20680,22
brp2.2,16,18392,22
brp2.5,1,104214,22
brp2.5,2,55374,22
brp2.5,4,32846,22
brp2.5,8,20680,22
brp2.5,16,18392,22
brp2.4,1,104214,22
brp2.4,2,58036,22
brp2.4,4,32252,22
brp2.4,8,20680,22
brp2.4,16,18392,22
schedule_world.3,1,129220,14
schedule_world.3,2,73850,14
schedule_world.3,4,47040,14
schedule_world.3,8,27006,14
schedule_world.3,16,14826,14
schedule_world.1,1,49640,10
schedule_world.1,2,27610,10
schedule_world.1,4,17780,10
schedule_world.1,8,8900,10
schedule_world.1,16,7060,10
schedule_world.2,1,85164,12
schedule_world.2,2,48216,12
schedule_world.2,4,30828,12
schedule_world.2,8,18984,12
schedule_world.2,16,12636,12
szymanski.5,1,702372,68
szymanski.5,2,359448,68
szymanski.5,4,184892,68
szymanski.5,8,103088,68
szymanski.5,16,61948,68
szymanski.3,1,436879,53
szymanski.3,2,220321,53
szymanski.3,4,111724,53
szymanski.3,8,62169,53
szymanski.3,16,35881,53
szymanski.1,1,222296,37
szymanski.1,2,112517,37
szymanski.1,4,60014,37
szymanski.1,8,32560,37
szymanski.1,16,21608,37
szymanski.4,1,445824,54
szymanski.4,2,224532,54
szymanski.4,4,113886,54
szymanski.4,8,63396,54
szymanski.4,16,35424,54
szymanski.2,1,242502,39
szymanski.2,2,125112,39
szymanski.2,4,66222,39
szymanski.2,8,36114,39
szymanski.2,16,23322,39
train-gate.7,1,423720,55
train-gate.7,2,225555,55
train-gate.7,4,122595,55
train-gate.7,8,67155,55
train-gate.7,16,36135,55
train-gate.5,1,252294,42
train-gate.5,2,131250,42
train-gate.5,4,70560,42
train-gate.5,8,39942,42
train-gate.5,16,21252,42
train-gate.4,1,258344,43
train-gate.4,2,133988,43
train-gate.4,4,72713,43
train-gate.4,8,41022,43
train-gate.4,16,21801,43
train-gate.2,1,133672,31
train-gate.2,2,68355,31
train-gate.2,4,37448,31
train-gate.2,8,22444,31
train-gate.2,16,13175,31
train-gate.3,1,133672,31
train-gate.3,2,70184,31
train-gate.3,4,37789,31
train-gate.3,8,20739,31
train-gate.3,16,14632,31
train-gate.1,1,49704,19
train-gate.1,2,25859,19
train-gate.1,4,14630,19
train-gate.1,8,8037,19
train-gate.1,16,5643,19
train-gate.6,1,331289,49
train-gate.6,2,177674,49
train-gate.6,4,91875,49
train-gate.6,8,50666,49
train-gate.6,16,29351,49
production_cell.4,1,119072,32
production_cell.4,2,65056,32
production_cell.4,4,34400,32
production_cell.4,8,18464,32
production_cell.4,16,14976,32
production_cell.6,1,375120,60
production_cell.6,2,192300,60
production_cell.6,4,101220,60
production_cell.6,8,55440,60
production_cell.6,16,33660,60
production_cell.3,1,143106,34
production_cell.3,2,77962,34
production_cell.3,4,38964,34
production_cell.3,8,23018,34
production_cell.3,16,15980,34
production_cell.5,1,274992,51
production_cell.5,2,140709,51
production_cell.5,4,72573,51
production_cell.5,8,39984,51
production_cell.5,16,25398,51
production_cell.1,1,76375,25
production_cell.1,2,40475,25
production_cell.1,4,20700,25
production_cell.1,8,13450,25
production_cell.1,16,7650,25
production_cell.2,1,56448,21
production_cell.2,2,31437,21
production_cell.2,4,16191,21
production_cell.2,8,9828,21
production_cell.2,16,6237,21
leader_filters.5,1,91812,28
leader_filters.5,2,48860,28
leader_filters.5,4,24584,28
leader_filters.5,8,13944,28
leader_filters.5,16,9156,28
leader_filters.7,1,133756,34
leader_filters.7,2,67558,34
leader_filters.7,4,37468,34
leader_filters.7,8,20094,34
leader_filters.7,16,12716,34
leader_filters.6,1,84532,28
leader_filters.6,2,45948,28
leader_filters.6,4,23128,28
leader_filters.6,8,13048,28
leader_filters.6,16,9156,28
leader_filters.4,1,57728,22
leader_filters.4,2,29172,22
leader_filters.4,4,14894,22
leader_filters.4,8,9702,22
leader_filters.4,16,6644,22
leader_filters.3,1,57728,22
leader_filters.3,2,29172,22
leader_filters.3,4,14894,22
leader_filters.3,8,9702,22
leader_filters.3,16,6644,22
leader_filters.1,1,31504,16
leader_filters.1,2,17344,16
leader_filters.1,4,8736,16
leader_filters.1,8,5696,16
leader_filters.1,16,3472,16
leader_filters.2,1,29008,16
leader_filters.2,2,16512,16
leader_filters.2,4,8736,16
leader_filters.2,8,5696,16
leader_filters.2,16,3472,16
fischer.5,1,79882,22
fischer.5,2,43846,22
fischer.5,4,25036,22
fischer.5,8,17094,22
fischer.5,16,10670,22
fischer.4,1,79882,22
fischer.4,2,43846,22
fischer.4,4,25036,22
fischer.4,8,17094,22
fischer.4,16,10670,22
fischer.7,1,103650,25
fischer.7,2,56950,25
fischer.7,4,33600,25
fischer.7,8,21925,25
fischer.7,16,16000,25
fischer.2,1,27118,13
fischer.2,2,14976,13
