Model name,Number of cores,Number of cycles, Number of configs found
adding.2,16,3584,7
adding.5,1,801,3
adding.5,2,414,3
adding.5,4,357,3
adding.5,8,980,4
adding.5,16,3584,7
adding.1,1,801,3
adding.1,2,414,3
adding.1,4,357,3
adding.1,8,980,4
adding.1,16,3584,7
adding.4,1,801,3
adding.4,2,414,3
adding.4,4,357,3
adding.4,8,980,4
adding.4,16,3584,7
lamport_nonatomic.1,1,1495584,96
lamport_nonatomic.1,2,783552,96
lamport_nonatomic.1,4,424032,96
lamport_nonatomic.1,8,220896,96
lamport_nonatomic.1,16,122880,96
lamport_nonatomic.4,1,4873056,184
lamport_nonatomic.4,2,2545456,184
lamport_nonatomic.4,4,1295544,184
lamport_nonatomic.4,8,706008,184
lamport_nonatomic.4,16,392656,184
lamport_nonatomic.5,1,10456420,260
lamport_nonatomic.5,2,5344820,260
lamport_nonatomic.5,4,2845180,260
lamport_nonatomic.5,8,1475240,260
lamport_nonatomic.5,16,805220,260
lamport_nonatomic.3,1,1777038,113
lamport_nonatomic.3,2,940160,113
lamport_nonatomic.3,4,487595,113
lamport_nonatomic.3,8,263516,113
lamport_nonatomic.3,16,146561,113
lamport_nonatomic.2,1,1783074,114
lamport_nonatomic.2,2,938562,114
lamport_nonatomic.2,4,498636,114
lamport_nonatomic.2,8,259122,114
lamport_nonatomic.2,16,142614,114
reader_writer.3,1,754885,85
reader_writer.3,2,395675,85
reader_writer.3,4,214880,85
reader_writer.3,8,112625,85
reader_writer.3,16,60180,85
reader_writer.1,1,72768,16
reader_writer.1,2,40032,16
reader_writer.1,4,22704,16
reader_writer.1,8,11776,16
reader_writer.1,16,6064,16
reader_writer.2,1,374216,58
reader_writer.2,2,190646,58
reader_writer.2,4,106082,58
reader_writer.2,8,55796,58
reader_writer.2,16,30856,58
rether.2,1,357628,58
rether.2,2,247370,58
rether.2,4,144304,58
rether.2,8,77024,58
rether.2,16,40368,58
rether.7,1,2866428,162
rether.7,2,1968786,162
rether.7,4,1102896,162
rether.7,8,601020,162
rether.7,16,334368,162
rether.6,1,2153348,149
rether.6,2,1452750,149
rether.6,4,745447,149
rether.6,8,408260,149
rether.6,16,239890,149
rether.1,1,196108,44
rether.1,2,126192,44
rether.1,4,67584,44
rether.1,8,33352,44
rether.1,16,25168,44
rether.3,1,1017433,97
rether.3,2,696072,97
rether.3,4,402259,97
rether.3,8,206222,97
rether.3,16,125712,97
rether.4,1,1323768,114
rether.4,2,878940,114
rether.4,4,462726,114
rether.4,8,275538,114
rether.4,16,146034,114
rether.5,1,2149045,145
rether.5,2,1412735,145
rether.5,4,786480,145
rether.5,8,465595,145
rether.5,16,239685,145
msmie.2,1,1768068,107
msmie.2,2,935394,107
msmie.2,4,489204,107
msmie.2,8,252092,107
msmie.2,16,133536,107
msmie.4,1,13641578,254
msmie.4,2,7089902,254
msmie.4,4,3631184,254
msmie.4,8,1871218,254
msmie.4,16,990092,254
msmie.1,1,465660,52
msmie.1,2,247052,52
msmie.1,4,130000,52
msmie.1,8,68640,52
msmie.1,16,42952,52
msmie.3,1,4213020,147
msmie.3,2,2202207,147
msmie.3,4,1127784,147
msmie.3,8,584913,147
msmie.3,16,315756,147
bridge.1,1,219186,41
bridge.1,2,118531,41
bridge.1,4,67691,41
bridge.1,8,36080,41
bridge.1,16,18286,41
bridge.3,1,858600,81
bridge.3,2,439506,81
bridge.3,4,239031,81
bridge.3,8,136971,81
bridge.3,16,76464,81
bridge.2,1,487878,61
bridge.2,2,264313,61
bridge.2,4,150121,61
bridge.2,8,75518,61
bridge.2,16,42700,61
